Order Date,Year,Month,Region,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit,Profit Margin,Customer Name,Segment
2016-11-08,2016,11,South,Furniture,Bookcases,Bush Somerset Collection Bookcase,261.96,2,0.0,41.9136,0.16000000000000003,Claire Gute,Consumer
2016-11-08,2016,11,South,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",731.94,3,0.0,219.582,0.3,Claire Gute,Consumer
2016-06-12,2016,6,West,Office Supplies,Labels,Self-Adhesive Address Labels for Typewriters by Universal,14.62,2,0.0,6.8714,0.47000000000000003,Darrin Van Huff,Corporate
2015-10-11,2015,10,South,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,957.5775,5,0.45,-383.031,-0.4,Sean O'Donnell,Consumer
2015-10-11,2015,10,South,Office Supplies,Storage,Eldon Fold 'N Roll Cart System,22.368,2,0.2,2.5164,0.1125,Sean O'Donnell,Consumer
2014-06-09,2014,6,West,Furniture,Furnishings,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",48.86,7,0.0,14.1694,0.29,Brosina Hoffman,Consumer
2014-06-09,2014,6,West,Office Supplies,Art,Newell 322,7.28,4,0.0,1.9656,0.27,Brosina Hoffman,Consumer
2014-06-09,2014,6,West,Technology,Phones,Mitel 5320 IP Phone VoIP phone,907.152,6,0.2,90.7152,0.09999999999999999,Brosina Hoffman,Consumer
2014-06-09,2014,6,West,Office Supplies,Binders,DXL Angle-View Binders with Locking Rings by Samsill,18.504,3,0.2,5.7825,0.31249999999999994,Brosina Hoffman,Consumer
2014-06-09,2014,6,West,Office Supplies,Appliances,Belkin F5C206VTEL 6 Outlet Surge,114.9,5,0.0,34.47,0.3,Brosina Hoffman,Consumer
2014-06-09,2014,6,West,Furniture,Tables,Chromcraft Rectangular Conference Tables,1706.184,9,0.2,85.3092,0.05,Brosina Hoffman,Consumer
2014-06-09,2014,6,West,Technology,Phones,Konftel 250 Conference phone - Charcoal black,911.424,4,0.2,68.3568,0.07500000000000001,Brosina Hoffman,Consumer
2017-04-15,2017,4,South,Office Supplies,Paper,Xerox 1967,15.552,3,0.2,5.4432,0.35000000000000003,Andrew Allen,Consumer
2016-12-05,2016,12,West,Office Supplies,Binders,Fellowes PB200 Plastic Comb Binding Machine,407.976,3,0.2,132.5922,0.32499999999999996,Irene Maddox,Consumer
2015-11-22,2015,11,Central,Office Supplies,Appliances,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",68.81,5,0.8,-123.858,-1.8,Harold Pawlan,Home Office
2015-11-22,2015,11,Central,Office Supplies,Binders,Storex DuraTech Recycled Plastic Frosted Binders,2.544,3,0.8,-3.816,-1.5,Harold Pawlan,Home Office
2014-11-11,2014,11,Central,Office Supplies,Storage,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",665.88,6,0.0,13.3176,0.02,Pete Kriz,Consumer
2014-05-13,2014,5,West,Office Supplies,Storage,Fellowes Super Stor/Drawer,55.5,2,0.0,9.99,0.18,Alejandro Grove,Consumer
2014-08-27,2014,8,West,Office Supplies,Art,Newell 341,8.56,2,0.0,2.4824,0.29,Zuschuss Donatelli,Consumer
2014-08-27,2014,8,West,Technology,Phones,Cisco SPA 501G IP Phone,213.48,3,0.2,16.011,0.075,Zuschuss Donatelli,Consumer
2014-08-27,2014,8,West,Office Supplies,Binders,"Wilson Jones Hanging View Binder, White, 1""",22.72,4,0.2,7.384,0.325,Zuschuss Donatelli,Consumer
2016-12-09,2016,12,Central,Office Supplies,Art,Newell 318,19.46,7,0.0,5.0596,0.25999999999999995,Ken Black,Corporate
2016-12-09,2016,12,Central,Office Supplies,Appliances,"Acco Six-Outlet Power Strip, 4' Cord Length",60.34,7,0.0,15.6884,0.25999999999999995,Ken Black,Corporate
2017-07-16,2017,7,East,Furniture,Chairs,"Global Deluxe Stacking Chair, Gray",71.372,2,0.3,-1.0196,-0.014285714285714287,Sandra Flanagan,Consumer
2015-09-25,2015,9,West,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,1044.63,3,0.0,240.2649,0.22999999999999998,Emily Burns,Consumer
2016-01-16,2016,1,West,Office Supplies,Binders,Wilson Jones Active Use Binders,11.648,2,0.2,4.2224,0.36250000000000004,Eric Hoffmann,Consumer
2016-01-16,2016,1,West,Technology,Accessories,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,90.57,3,0.0,11.7741,0.13,Eric Hoffmann,Consumer
2015-09-17,2015,9,East,Furniture,Bookcases,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",3083.43,7,0.5,-1665.0522,-0.54,Tracy Blumstein,Consumer
2015-09-17,2015,9,East,Office Supplies,Binders,Avery Recycled Flexi-View Covers for Binding Systems,9.618,2,0.7,-7.0532,-0.7333333333333334,Tracy Blumstein,Consumer
2015-09-17,2015,9,East,Furniture,Furnishings,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",124.2,3,0.2,15.525,0.125,Tracy Blumstein,Consumer
2015-09-17,2015,9,East,Office Supplies,Envelopes,Poly String Tie Envelopes,3.264,2,0.2,1.1016,0.3375,Tracy Blumstein,Consumer
2015-09-17,2015,9,East,Office Supplies,Art,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",86.304,6,0.2,9.7092,0.11249999999999999,Tracy Blumstein,Consumer
2015-09-17,2015,9,East,Office Supplies,Binders,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",6.858,6,0.7,-5.715,-0.8333333333333334,Tracy Blumstein,Consumer
2015-09-17,2015,9,East,Office Supplies,Art,Lumber Crayons,15.76,2,0.2,3.546,0.22499999999999998,Tracy Blumstein,Consumer
2017-10-19,2017,10,Central,Office Supplies,Paper,Easy-staple paper,29.472,3,0.2,9.9468,0.33749999999999997,Matt Abelman,Home Office
